"Please note: to apply changes immediately after you saved configuration, make sure to reindex Catalog Search Index.","Please note: to apply changes immediately after you saved configuration, make sure to reindex Catalog Search Index."
"All words must be present","All words must be present"
"At least one word must be present","At least one word must be present"
"All Attributes","All Attributes"
"Priority | Searchable Attributes","Priority | Searchable Attributes"
"Drag &amp; drop attributes that should be used in search. You can set &quot;priority&quot; for Searchable Attributes. Products with matching higher priority attributes will be displayed on top of search results.","Drag &amp; drop attributes that should be used in search. You can set &quot;priority&quot; for Searchable Attributes. Products with matching higher priority attributes will be displayed on top of the search results."
Edit,Edit
Search,Search
"Found in","Found in"
"No results found","No results found"
"Show All Results","Show All Results"
"Search Autocomplete & Suggest","Search Autocomplete & Suggest"
Configuration,Configuration
General,General
"Enable Extension","Enable Extension"
"Serial Key","Serial Key"
"Search Settings","Search Settings"
"Searchable Product Attributes","Searchable Product Attributes"
"Search By Tags","Search By Tags"
"Show Category Filter","Show Category Filter"
"Hidden Categories in Filter","Hidden Categories in Filter"
"Selected categories will be searchable but hidden to the visitor","Selected categories will be searchable but hidden to the visitor"
"Query Delay","Query Delay"
"In milliseconds, e.g. 500 means 0.5 of a second","In milliseconds, e.g. 500 means 0.5 of a second"
"Search Condition","Search Condition"
"Additional Settings","Additional Settings"
"Standard Configuration","Standard Configuration"
"Product Suggestion Settings","Product Suggestion Settings"
"Display Product Suggestions","Display Product Suggestions"
"Max. Number of Suggestions","Max. Number of Suggestions"
"Show Thumbnails","Show Thumbnails"
"Show Price","Show Price"
"Show Rating","Show Rating"
"Show Short Description","Show Short Description"
"Max. Length of Short Description","Max. Length of Short Description"
"Keyword Suggestions Settings","Keyword Suggestions Settings"
"Display Category Suggestions","Display Category Suggestions"
"Max. Number of Category Suggestions","Max. Number of Category Suggestions"
"Display Keyword Suggestions","Display Keyword Suggestions"
"Max. Number of Keyword Suggestions","Max. Number of Keyword Suggestions"
